sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C,season,type,richness,neutral,phylogenetic,functional
EHI02595,AGP25E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.629,24081746,2569,0.02954796091296152,3545906986,390443,0.04726964255217147,18.3873526701312,0.83073773200546,autumn,natural,201,72.011861339937,4.869509705844717,1.4176593758948872
EHI02614,AGO48E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.5771999999999999,23112026,5303,0.03301809390474908,3403427978,783821,0.05047666118381733,19.1938644039657,0.783411258772499,autumn,urban,173,77.2652154145886,4.601311213210207,1.5174656858509417
EHI02580,AGO11E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.5752,24821198,15002,0.02216489963609902,3659436982,2285096,0.03830578587280053,18.6994298781546,0.824400896831484,autumn,natural,169,64.15852331508411,6.5546086594293085,1.5981092441144291
EHI02574,AGO40E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.7701,25761760,7677,0.03223016862913419,3805436605,1105944,0.04668598192262341,18.5763886618155,0.754834329426597,autumn,urban,172,14.991247107557085,3.5463744709645044,1.4760316017369925
EHI02627,AGP32E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.5466,21281034,10295,0.03206493000504773,3129695336,1572916,0.050527226990758727,21.7119897569231,0.368028570221743,autumn,natural,69,37.37969084895985,6.7702784963831535,1.5931432573773967
EHI02629,AGO39E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.5553,26781732,7369,0.01795299049177423,3935235735,1035638,0.03775117295936703,19.53372944414,0.774633274061245,autumn,urban,256,140.74486692218235,7.551827785210951,1.5076505818441672
EHI02618,AGO47E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.6968000000000001,24130374,4661,0.02652891491082853,3546048534,675857,0.04611683144819856,18.2712816544918,0.848597964852427,autumn,urban,99,34.339127835256065,3.83026057720155,1.601914707506833
EHI01441,AAP02E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.6575,21460146,9488,0.02174518923905144,3190616931,1532668,0.02991163188719448,19.1814934201065,0.802544923814953,spring,urban,188,92.0858417160793,6.253145257902739,1.5408742092236374
EHI02605,AGP52E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.7184,32428368,4165,0.03162380702023559,4789165715,578456,0.04645746677518125,18.0837496627791,0.921113571615573,autumn,protected,130,45.75254442592225,3.3210698931725764,1.4752304889182084
EHI02573,AGO36E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5513,29330596,5367,0.03529067222987525,4321892488,919831,0.05212578102426912,18.5399411929842,0.843444272160971,autumn,natural,91,41.62328591356658,2.999435478046879,1.4623511345535607
